DiaChi,NgayCap,TenHinhThuc
Quận 5,2014-02-12 00:00:00,PKCK Sản phụ khoa
Quận 12,2014-07-14 00:00:00,PKCK Sản phụ khoa
Tân Bình,2014-10-31 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2014-07-02 00:00:00,PKCK Nhi
Quận 6,2014-04-21 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 6,2014-06-04 00:00:00,PKCK Ngoại
Phú Nhuận,2013-07-24 00:00:00,PKCK Sản phụ khoa
Củ Chi,2013-04-03 00:00:00,PKCK Da liễu
Gò Vấp,2013-08-22 00:00:00,PKCK Sản phụ khoa
Quận 11,2014-10-30 00:00:00,PK Nội tổng hợp
Bình Tân,2014-04-21 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-08-24 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2014-09-22 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-06-18 00:00:00,PK đa khoa
Bình Chánh,2014-03-19 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2013-09-09 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-12-03 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2015-03-25 00:00:00,PKCK Mắt
Phú Nhuận,2013-05-04 00:00:00,PK Nội tổng hợp
Quận 4,2014-06-04 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2015-06-29 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-07-16 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-02-12 00:00:00,PKCK Tai Mũi Họng
TP. Thủ Đức,2013-08-27 00:00:00,PK đa khoa
Bình Thạnh,2013-01-22 00:00:00,PK Nội tổng hợp
Tân Phú,2013-08-14 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2014-05-08 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-17 00:00:00,PKCK Chấn thương chỉnh hình 
Gò Vấp,2014-05-15 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-11-10 00:00:00,PK Nội tổng hợp
Quận 6,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2017-04-14 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-12-06 00:00:00,PK Nội tổng hợp
Quận 5,2013-07-02 00:00:00,PK Nội tổng hợp
Tân Phú,2013-10-08 00:00:00,PKCK Sản phụ khoa
Quận 10,2015-02-06 00:00:00,PKCK Da liễu
Bình Tân,2014-04-17 00:00:00,PKCK Sản phụ khoa
Bình Chánh,2013-08-08 00:00:00,PK Nội tổng hợp
Quận 10,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2013-11-29 00:00:00,PK đa khoa
Tân Phú,2013-11-25 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2014-04-21 00:00:00,PKCK Nhi
Củ Chi,2013-08-08 00:00:00,PK Nội tổng hợp
Quận 11,2013-05-09 00:00:00,PK đa khoa
Quận 6,2015-05-28 00:00:00,PKCK Sản phụ khoa
Quận 10,2013-01-08 00:00:00,PK đa khoa
Quận 1,2013-06-04 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-04-21 00:00:00,PKCK Sản phụ khoa
Bình Chánh,2015-12-25 00:00:00,PK Nội tổng hợp
Quận 7,2014-07-11 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2014-07-17 00:00:00,PKCK Ngoại
TP. Thủ Đức,2013-09-09 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-10-31 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-06-05 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-01-13 00:00:00,PK đa khoa
Tân Bình,2014-08-13 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2015-05-28 00:00:00,PKCK Tai Mũi Họng
Quận 3,2014-04-17 00:00:00,PKCK Sản phụ khoa
Bình Tân,2015-05-05 00:00:00,PK đa khoa
Quận 6,2014-11-26 00:00:00,PKCK Nội Tim mạch
Quận 8,2013-08-14 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-10-29 00:00:00,PKCK Sản phụ khoa
Tân Bình,2014-03-19 00:00:00,PKCK Sản phụ khoa
Quận 6,2013-12-16 00:00:00,PKCK Sản phụ khoa
Quận 3,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-12-12 00:00:00,PKCK Tai Mũi Họng
Quận 11,2016-12-01 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-02-13 00:00:00,PK Nội tổng hợp
Quận 6,2014-02-12 00:00:00,PKCK Tai Mũi Họng
Củ Chi,2015-09-11 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2017-04-26 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2014-10-31 00:00:00,PK đa khoa
Hóc Môn,2014-08-13 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-12-16 00:00:00,PKCK Tai Mũi Họng
Bình Tân,2013-10-01 00:00:00,PKCK Da liễu
Bình Tân,2014-05-08 00:00:00,PKCK Sản phụ khoa
Quận 11,2014-01-08 00:00:00,PK đa khoa
Quận 10,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2017-06-21 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2015-04-01 00:00:00,PKCK Tai Mũi Họng
Quận 7,2014-10-29 00:00:00,PKCK Sản phụ khoa
Quận 5,2013-07-09 00:00:00,PKCK Tai Mũi Họng
Quận 1,2014-10-14 00:00:00,PK đa khoa
Hóc Môn,2015-03-25 00:00:00,PKCK Tai Mũi Họng
Quận 10,2014-03-20 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2013-11-05 00:00:00,PK đa khoa
Tân Phú,2013-09-05 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-05-28 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-07-17 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-05-04 00:00:00,PK Nội tổng hợp
Quận 6,2013-10-23 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-02-12 00:00:00,PKCK Sản phụ khoa
Củ Chi,2015-03-04 00:00:00,PK Nội tổng hợp
Quận 7,2013-01-10 00:00:00,PK đa khoa
Tân Bình,2014-07-17 00:00:00,PKCK Sản phụ khoa
Quận 10,2013-10-31 00:00:00,PK Nội tổng hợp
Quận 7,2017-06-27 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-04-17 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-07-09 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-09-20 00:00:00,PK đa khoa
Quận 11,2014-07-14 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-05-09 00:00:00,PK đa khoa
Bình Thạnh,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2017-04-14 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2013-07-09 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2016-08-22 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-11-13 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2012-10-03 00:00:00,PK Nội tổng hợp
Tân Phú,2013-11-05 00:00:00,PK đa khoa
Hóc Môn,2014-04-21 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-03-20 00:00:00,PK Nội tổng hợp
Quận 10,2014-02-13 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 11,2013-12-12 00:00:00,PK Nội tổng hợp
Bình Thạnh,2013-08-14 00:00:00,PK Nội tổng hợp
Quận 3,2013-01-29 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2013-12-06 00:00:00,PK Nội tổng hợp
Quận 11,2013-05-09 00:00:00,PK Nội tổng hợp
Quận 6,2013-01-31 00:00:00,PK đa khoa
Quận 7,2013-12-27 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-08-14 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-11-16 00:00:00,PKCK Da liễu
Quận 12,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-12-06 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-09-24 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2015-12-30 00:00:00,Trạm y tế phường xã 
Bình Thạnh,2015-09-23 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2014-10-29 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-12-18 00:00:00,PK Nội tổng hợp
Quận 10,2015-09-17 00:00:00,PK đa khoa
Gò Vấp,2013-11-21 00:00:00,PK đa khoa
Quận 1,2013-06-20 00:00:00,PK đa khoa
Bình Tân,2013-08-08 00:00:00,PK Nội tổng hợp
Quận 6,2013-12-03 00:00:00,PK đa khoa
Quận 10,2015-09-25 00:00:00,PKCK Ngoại
Bình Thạnh,2013-10-04 00:00:00,PK đa khoa
Tân Phú,2014-03-18 00:00:00,PKCK Mắt
Quận 10,2017-08-04 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2013-06-05 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-03-19 00:00:00,PKCK Nhi
Quận 11,2015-12-28 00:00:00,PKCK Sản phụ khoa
Củ Chi,2013-08-08 00:00:00,PKCK Tai Mũi Họng
Quận 5,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 11,2013-09-30 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2016-07-14 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-10-31 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-05-30 00:00:00,PKCK Sản phụ khoa
Quận 1,2015-03-04 00:00:00,PK đa khoa
Quận 7,2015-05-28 00:00:00,PKCK Sản phụ khoa
Quận 1,2012-11-30 00:00:00,PK đa khoa
Quận 1,2014-09-23 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-05-15 00:00:00,PKCK Ngoại
Quận 1,2014-03-19 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-12-02 00:00:00,PKCK Tai Mũi Họng
Tân Bình,2014-10-23 00:00:00,PKCK Ngoại
Bình Thạnh,2013-12-06 00:00:00,PK Nội tổng hợp
Quận 8,2015-09-28 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-11-10 00:00:00,PKCK Ngoại
Quận 3,2015-12-08 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-05-05 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2013-12-09 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-11-13 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-09-30 00:00:00,PKCK Mắt
Quận 10,2015-04-01 00:00:00,PKCK Sản phụ khoa
Quận 5,2013-12-17 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-09-22 00:00:00,PKCK Sản phụ khoa
Quận 3,2013-07-09 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2013-08-07 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Chánh,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2015-12-08 00:00:00,PKCK Mắt
Quận 10,2015-04-09 00:00:00,PKCK Da liễu
Phú Nhuận,2013-12-06 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-05-08 00:00:00,PKCK Tai Mũi Họng
Tân Phú,2013-12-06 00:00:00,PK Nội tổng hợp
Tân Bình,2015-02-10 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-05-06 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Phú,2015-10-29 00:00:00,PKCK Phục hồi chức năng
Quận 11,2014-04-22 00:00:00,PK Chẩn đoán hình ảnh
Quận 1,2013-12-20 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2013-12-17 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2013-12-16 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2013-01-29 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2013-10-31 00:00:00,PK Nội tổng hợp
Phú Nhuận,2013-04-03 00:00:00,PK Nội tổng hợp
Quận 10,2013-08-29 00:00:00,PK Nội tổng hợp
Củ Chi,2015-09-28 00:00:00,PKCK Ngoại thần kinh
Tân Phú,2014-05-30 00:00:00,PK Nội tổng hợp
Củ Chi,2013-12-06 00:00:00,PK Nội tổng hợp
Bình Tân,2013-11-25 00:00:00,PK Nội tổng hợp
Phú Nhuận,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-12-16 00:00:00,PKCK Nhi
Quận 12,2015-04-15 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2015-05-22 00:00:00,PKCK Sản phụ khoa
Quận 10,2015-07-13 00:00:00,PKCK Mắt
Quận 6,2013-09-09 00:00:00,PKCK Da liễu
Phú Nhuận,2014-03-24 00:00:00,PKCK Sản phụ khoa
Tân Bình,2015-10-20 00:00:00,PK Nội tổng hợp
Quận 7,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2015-10-15 00:00:00,PKCK Nhi
Bình Thạnh,2013-10-23 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-07-28 00:00:00,PK đa khoa
Bình Thạnh,2014-06-09 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-01-14 00:00:00,PK Nội tổng hợp
Bình Tân,2013-10-23 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2013-07-09 00:00:00,PK Nội tổng hợp
Quận 3,2013-12-17 00:00:00,PK đa khoa
Tân Phú,2014-05-06 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 5,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-09-20 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-05-28 00:00:00,PK Chẩn đoán hình ảnh
Quận 11,2013-07-24 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2015-11-12 00:00:00,PKCK Nhi
Quận 1,2013-12-16 00:00:00,PKCK Da liễu
Củ Chi,2014-04-24 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-07-03 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-02-12 00:00:00,PKCK Tai Mũi Họng
Quận 3,2015-11-11 00:00:00,PKCK Da liễu
Quận 1,2017-08-04 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-02-13 00:00:00,PKCK Tai Mũi Họng
Quận 11,2014-11-25 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 4,2014-04-17 00:00:00,PK Nội tổng hợp
Quận 8,2015-08-12 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2014-04-15 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 10,2014-12-19 00:00:00,PK Nội tổng hợp
Bình Tân,2014-10-27 00:00:00,PK đa khoa
Bình Thạnh,2014-05-05 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 10,2014-05-15 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2013-07-09 00:00:00,PK Nội tổng hợp
Quận 10,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-05-06 00:00:00,PKCK Nội tiết
Phú Nhuận,2014-05-08 00:00:00,PKCK Da liễu
Bình Thạnh,2013-11-12 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-12-12 00:00:00,PK Nội tổng hợp
Quận 5,2014-05-06 00:00:00,PKCK Sản phụ khoa
Quận 10,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-01-14 00:00:00,PKCK Ngoại
Quận 11,2015-10-23 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-10-27 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 8,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2015-12-28 00:00:00,"Cơ sở dịch vụ cấp cứu, hỗ trợ vận chuyển người bệnh"
Quận 10,2015-10-27 00:00:00,PKCK Ngoại
Quận 11,2013-12-11 00:00:00,PKCK Nhi
Bình Chánh,2015-06-29 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-05-28 00:00:00,PKCK Ngoại
Quận 10,2017-09-13 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2014-03-19 00:00:00,PKCK Tai Mũi Họng
TP. Thủ Đức,2014-07-17 00:00:00,PKCK Nội thần kinh
Quận 3,2014-08-13 00:00:00,PKCK Tai Mũi Họng
Quận 11,2015-06-10 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 1,2015-04-21 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-02-11 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-11-10 00:00:00,PK Nội tổng hợp
Quận 8,2015-10-09 00:00:00,PKCK Ngoại
Quận 11,2013-12-12 00:00:00,PK Nội tổng hợp
Tân Phú,2013-11-12 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-11-29 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-01 00:00:00,PK Nội tổng hợp
Quận 5,2014-12-18 00:00:00,PK Nội tổng hợp
Quận 11,2015-06-29 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-04-20 00:00:00,PK Nội tổng hợp
Bình Tân,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2017-06-22 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2013-06-25 00:00:00,PK Nội tổng hợp
Quận 1,2013-10-03 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2015-01-06 00:00:00,Cơ sở dịch vụ làm răng giả
Tân Bình,2014-11-11 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-04-22 00:00:00,PK Nội tổng hợp
Quận 4,2014-04-21 00:00:00,PKCK Tai Mũi Họng
Quận 3,2014-10-30 00:00:00,PKCK Phẫu thuật thẩm mỹ
Hóc Môn,2014-12-10 00:00:00,PKCK Sản phụ khoa
Quận 3,2014-02-25 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-02-12 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2014-04-21 00:00:00,PK Nội tổng hợp
Củ Chi,2013-09-30 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2013-11-08 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2013-07-09 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-10-28 00:00:00,PKCK Nhi
Quận 8,2014-05-06 00:00:00,PKCK Ngoại
Hóc Môn,2017-02-21 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-10-30 00:00:00,Phòng xét nghiệm
Bình Thạnh,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-09-05 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2015-04-17 00:00:00,Cơ sở dịch vụ làm răng giả
Gò Vấp,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-01-15 00:00:00,PK đa khoa
Quận 6,2013-08-08 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-09-16 00:00:00,PK đa khoa
Gò Vấp,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2013-11-12 00:00:00,PK Nội tổng hợp
Quận 6,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2012-11-30 00:00:00,PK đa khoa
Quận 1,2013-11-12 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-07-25 00:00:00,PKCK Da liễu
