LOAIHINHHN,PHAMVIHN,DUONG,PHUONG,QUAN,CVXLCCHN,NGCAPCCHN,NOICAPCCHN,GPP_GDP_GSP,NGAYCAPGCN,NGAYHHGCN
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","310, Nguyễn Văn Đậu",Phường 11,Bình Thạnh,Ds. Nguyễn Thị Kim Ngân,2020-11-04,Sở Y tế TP.HCM,GPP,2021-01-15,15/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 33, Đường 18",Phường Thạnh Mỹ Lợi,TP. Thủ Đức,Ds Lê Thị Thu Hòa,2015-05-11,Sở Y tế TP.HCM,GPP,2019-10-03,03/10/2022
nhà thuốc,bán thuốc thành phẩm,"198, Lê Thị Hoa, Khu phố 5",Phường Bình Chiểu,TP. Thủ Đức,Ds Lê Thị Thu Hòa,2014-06-24,Sở Y tế TP.HCM,GPP,2014-04-02,02/04/2017
nhà thuốc,bán thuốc thành phẩm,"444, Tỉnh lộ 43",Phường Tam Phú,TP. Thủ Đức,Ds Trương Việt Cường,2015-10-14,Sở Y tế TP.HCM,GPP,2014-08-06,06/08/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","D27-P KDC cao cấp Belleza, Phạm Hữu Lầu",Phường Phú Mỹ,Quận 7,,2015-09-25,Sở Y tế Tỉnh Bến Tre,GPP,2019-04-03,03/04/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","301, Thoại Ngọc Hầu",Phường Hiệp Tân,Tân Phú,Ds Trương Việt Cường,2014-02-19,Sở Y tế TP.HCM,GPP,2018-05-24,24/05/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","374, đường Võ Văn Ngân, Khu phố 3",Phường Bình Thọ,TP. Thủ Đức,Ds. Trần Minh Trí,2020-02-06,Sở Y tế TP.HCM,GPP,2021-04-02,13/07/2023
nhà thuốc,bán thuốc thành phẩm,"125, An Dương Vương, Khu phố 4",Phường An Lạc,Bình Tân,Ds Trương Việt Cường,2013-08-29,Sở Y tế TP.HCM,GPP,2014-02-18,18/02/2017
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Kho số 3C, 270, Lý Thường Kiệt",Phường 14,Quận 10,Ds. Trương Việt Cường,2017-02-13,Sở Y tế TP.HCM,GDP,2020-01-07,07/01/2023
nhà thuốc,bán thuốc thành phẩm,"58/3D, Ấp Đông Lân",Xã Bà Điểm,Hóc Môn,,2015-09-07,Sở Y tế Tỉnh Vĩnh Long,GPP,2016-02-25,25/02/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","48, Tân Lập 1, Khu phố 3",Phường Hiệp Phú,TP. Thủ Đức,Ds Trần Minh Trí,2017-07-25,Sở Y tế TP.HCM,GPP,2021-04-02,10/09/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 30/1A, đường Ngô Thời Nhiệm",Phường 07,Quận 3,Ds. Nguyễn Thị Ngọc Diễm,2021-12-13,Sở Y tế TP.HCM,GPP,2018-01-26,26/01/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C4/1, Phạm Hùng, ấp 4",Xã Bình Hưng,Bình Chánh,Ds. Nguyễn Thị Ngọc Diễm,2019-12-18,Sở Y tế TP.HCM,GPP,2020-03-25,25/03/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","515, Lê Văn Lương",Phường Tân Phong,Quận 7,Ds Nguyễn Thị Kim Ngân,2013-11-26,Sở Y tế TP.HCM,GPP,2021-01-11,11/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1415, Phan Văn Trị",Phường 10,Gò Vấp,Ds. Nguyễn Huy Hùng,2022-03-29,Sở Y tế TP.HCM,GPP,2022-06-23,23/06/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","03, Cống Lở",Phường 15,Tân Bình,Ds. Bùi Thanh Nguyệt,2020-12-04,Sở Y tế TP.HCM,GPP,2021-03-03,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","54 Đường số 8, Khu 2 Bùi Minh Trực",Phường 05,Quận 8,Ds. Nguyễn Trần Công Huân,2020-03-02,Sở Y tế TP.HCM,GPP,2024-05-27,27/05/2027
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Lầu 2, số 284/41/9, đường Lý Thường Kiệt",Phường 14,Quận 10,,2014-09-15,Sở Y tế TP. Hà Nội,GDP,2021-01-11,11/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","30, Hoàng Hoa Thám",Phường 12,Tân Bình,Ds. Nguyễn Huy Hùng,2019-01-17,Sở Y tế TP.HCM,GPP,2020-03-18,18/03/2023
nhà thuốc,bán thuốc thành phẩm,"50/2/27, Dương Quảng Hàm",Phường 05,Gò Vấp,,2014-11-26,Sở Y tế TP. Hải Phòng,GPP,2015-02-26,26/02/2018
nhà thuốc,bán thuốc thành phẩm,"147, Nguyễn Thượng Hiền",Phường 06,Bình Thạnh,,2011-02-23,Sở Y tế TP.HCM,GPP,2013-09-16,25/07/2014
nhà thuốc,bán thuốc thành phẩm,"1691, Tỉnh lộ 10, Khu phố 5",Phường Tân Tạo A,Bình Tân,,2013-10-21,Sở Y tế TP. Hà Nội,GPP,2014-07-15,15/07/2017
nhà thuốc,bán thuốc trừ vắc xin,"65, Phổ Quang",Phường 02,Tân Bình,Ds Trần Thị Như Thủy,2014-02-20,Sở Y tế TP.HCM,GPP,2017-08-28,28/08/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","994/48B, Huỳnh Tấn Phát",Phường Tân Phú,Quận 7,Ds Nguyễn Thị Kim Ngân,2017-08-18,Sở Y tế TP.HCM,GPP,2020-01-22,22/01/2023
doanh nghiệp bán buôn thuốc,bán thuốc thành phẩm do công ty tnhh dược phẩm shinpoong daewoo,"284/2, Lý Thường Kiệt",Phường 14,Quận 10,Ds Lê Thị Thu Hòa,2016-06-14,Sở Y tế TP.HCM,GDP,2016-10-06,06/10/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","88/3, Ấp Tây Lân",Xã Bà Điểm,Hóc Môn,Ds. Lê Thị Minh Thảo,2020-06-11,Sở Y tế TP.HCM,GPP,2019-08-01,01/08/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Shophouse B-01-05, chung cư Saigon Gateway, 702, Xa Lộ Hà Nội-",Phường Hiệp Phú,TP. Thủ Đức,,2021-07-30,Sở Y tế Tỉnh Bình Dương,GPP,2021-12-03,03/12/2024
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 938, Quốc lộ 1A",Phường Linh Trung,TP. Thủ Đức,Ds. Thái Thanh Tú,2020-09-10,Sở Y tế TP.HCM,GDP,2022-03-10,10/03/2025
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Phòng 14B03, Tòa Nhà Ruby Land, Số 58/4 Lũy Bán Bích",Phường Tân Thới Hòa,Tân Phú,Ds Lê Thị Thu Hòa,2013-11-26,Sở Y tế TP.HCM,GDP,2024-09-06,07/09/2027
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Quầy I2, số 134/1, Tô Hiến Thành",Phường 15,Quận 10,,2017-05-03,Sở Y tế Tỉnh Hà Nam,GDP,2021-04-26,26/04/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","136, Man Thiện, Khu phố 5",Phường Tăng Nhơn Phú A,TP. Thủ Đức,,2021-01-27,Sở Y tế Tỉnh Đồng Nai,GPP,2021-10-27,27/10/2024
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","68/118, đường Đồng Nai",Phường 15,Quận 10,Ds. Trương Việt Cường,2017-07-25,Sở Y tế TP.HCM,GDP,2019-08-22,22/08/2022
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","351/3A, Lê Đại Hành",Phường 11,Quận 11,Ds Trần Minh Trí,2014-05-26,Sở Y tế TP.HCM,GDP,2020-08-05,05/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","34, Tên Lửa, Khu phố 1",Phường An Lạc A,Bình Tân,Ds. Nguyễn Huy Hùng,2020-01-21,Sở Y tế TP.HCM,GPP,2020-08-12,12/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","93, Xô Viết Nghệ Tĩnh",Phường 17,Bình Thạnh,Ds Nguyễn Thị Kim Ngân,2014-03-19,Sở Y tế TP.HCM,GPP,2019-11-21,21/11/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 14, Đường Nguyễn Văn Khạ, Ấp Phú An",Xã Phú Hòa Đông,Củ Chi,,2018-01-11,Sở Y tế Tỉnh Bạc Liêu,GPP,2019-01-10,10/01/2022
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 58, Đường số 6, KĐC Phước Kiển, Ấp 5",Xã Phước Kiển,Nhà Bè,Ds. Tô Văn Minh,2017-12-04,Sở Y tế TP.HCM,GDP,2020-02-06,06/02/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","92, Đường số 10, Khu phố 7",Phường Bình Hưng Hòa B,Bình Tân,Ds. Bùi Thanh Nguyệt,2018-05-30,Sở Y tế TP.HCM,GPP,2019-01-29,29/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1/3, Quang Trung, KP5",Thị trấn Hóc Môn,Hóc Môn,Ds Trần Minh Trí,2014-08-28,Sở Y tế TP.HCM,GPP,2021-02-25,25/02/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","64-66-68, Lê Chân",Phường Tân Định,Quận 1,Ds. Lê Thị Minh Thảo,2017-08-09,Sở Y tế TP.HCM,GPP,2022-04-20,20/04/2025
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",Ấp 2,Xã Tân Thạnh Đông,Củ Chi,Ds. Trần Minh Trí,2018-10-11,Sở Y tế TP.HCM,GDP,2023-02-27,27/02/2026
nhà thuốc,bán thuốc thành phẩm,"25, Vườn Chuối",Phường 04,Quận 3,Ds Trần Minh Trí,2014-12-30,Sở Y tế TP.HCM,GPP,2013-08-14,14/08/2016
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","23, Lê Văn Ninh",Phường Linh Tây,TP. Thủ Đức,Ds. Nguyễn Thị Ngọc Diễm,2022-05-06,Sở Y tế TP.HCM,GPP,2023-04-10,10/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","173, An Dương Vương",Phường An Lạc,Bình Tân,,2014-11-26,Sở Y tế Tỉnh Nghệ An,GPP,2021-06-03,03/06/2024
nhà thuốc,bán thuốc trừ vắc xin,"195, Võ Thành Trang",Phường 11,Tân Bình,Ds Lê Thị Thu Hòa,2014-06-24,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A8/2, Quốc lộ 50, ấp 1, Xã Qui Đức",,Bình Chánh,Ds Lê Thị Thu Hòa,2013-12-02,Sở Y tế Tỉnh Khánh Hòa,GPP,2020-08-07,07/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","2/6C, đường Bà Điểm 1, Ấp Bắc Lân",Xã Bà Điểm,Hóc Môn,,2019-08-16,Sở Y tế Tỉnh Long An,GPP,2019-11-21,21/11/2022
nhà thuốc,bán thuốc thành phẩm,"E5/38, Ấp 5",Xã Vĩnh Lộc A,Bình Chánh,Ds Trương Việt Cường,2015-08-18,Sở Y tế TP.HCM,GPP,2016-09-20,20/09/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 576, Đường Nguyễn Văn Khạ, Ấp Cây Trắc",Xã Phú Hòa Đông,Củ Chi,,2013-09-09,Sở Y tế Tỉnh Hà Tĩnh,GPP,2019-01-10,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","538, Huỳnh Tấn Phát",Phường Bình Thuận,Quận 7,Ds Trương Việt Cường,2014-04-07,Sở Y tế TP.HCM,GPP,2020-05-29,
nhà thuốc,bán thuốc thành phẩm,"27, Đường 9, Khu phố 1",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds Bùi Thanh Nguyệt,2013-09-20,Sở Y tế TP.HCM,GPP,2014-02-14,14/02/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1411/3C, APĐ03, Khu phố 3",Phường An Phú Đông,Quận 12,Ds Bùi Thanh Nguyệt,2016-02-05,Sở Y tế TP.HCM,GPP,2020-09-23,23/09/2023
nhà thuốc,bán thuốc thành phẩm,"699, Trần Hưng Đạo",Phường 01,Quận 5,Ds Nguyễn Thị Kim Ngân,2014-06-03,Sở Y tế TP.HCM,GPP,2014-09-18,18/09/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","778K, Nguyễn Kiệm",Phường 04,Phú Nhuận,Ds. Nguyễn Huy Hùng,2019-03-06,Sở Y tế TP.HCM,GPP,2019-06-26,26/06/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","9/7, ấp Thới Tứ 2",Xã Thới Tam Thôn,Hóc Môn,Ds. Bùi Thanh Nguyệt,2017-10-19,Sở Y tế TP.HCM,GPP,2021-03-08,
nhà thuốc,bán thuốc thành phẩm,"77, Lê Thị Hồng",Phường 17,Gò Vấp,Ds Lê Thị Thu Hòa,2016-08-08,Sở Y tế TP.HCM,GPP,2015-04-20,20/04/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","171, Trần Văn Quang",Phường 10,Tân Bình,Ds Bùi Thanh Nguyệt,2015-11-09,Sở Y tế TP.HCM,GPP,2018-05-03,03/05/2021
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","80/43, đường Số 12",Phường Bình Hưng Hòa,Bình Tân,Ds Trần Thị Như Thủy,2014-05-20,Sở Y tế TP.HCM,GDP,2020-08-20,20/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","14, Tân Sơn Nhì",Phường Tân Sơn Nhì,Tân Phú,Ds. Nguyễn Trần Công Huân,2019-01-15,Sở Y tế TP.HCM,GPP,2020-07-02,02/07/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","70, đường số 5, cư xá Bình Thới",Phường 08,Quận 11,Ds. Nguyễn Trần Công Huân,2019-10-30,Sở Y tế TP.HCM,GPP,2020-03-02,02/03/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",6A Tống Hữu Định,Phường Thảo Điền,TP. Thủ Đức,,2022-06-13,Sở Y tế tỉnh Gia Lai,GPP,2024-09-10,11/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","97, Nguyễn Thị Mười",Phường 04,Quận 8,Ds Lê Thị Minh Thảo,2016-10-27,Sở Y tế TP.HCM,GPP,2018-12-19,19/12/2021
nhà thuốc,bán thuốc thành phẩm,"1887, Phạm Thế Hiển",Phường 06,Quận 8,,2014-09-03,Sở Y tế Tỉnh Hậu Giang,GPP,2016-03-24,24/03/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","170G, Tân Hòa Đông",Phường 14,Quận 6,Ds. Bùi Thanh Nguyệt,2017-10-20,Sở Y tế TP.HCM,GPP,2019-11-13,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 445, Trần Phú",Phường 07,Quận 5,Ds. Nguyễn Huy Hùng,2019-05-10,Sở Y tế TP.HCM,GPP,2021-03-03,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","191, Nguyễn Thái Bình",Phường Nguyễn Thái Bình,Quận 1,Ds Phạm Văn Sơn,2014-05-26,Sở Y tế TP.HCM,GPP,2018-11-20,20/11/2021
